Date,HomeTeam,AwayTeam,Referee,HF,AF,TF,HY,AY,TY,HR,AR,TR
27/12/2016,Liverpool,Stoke,M Oliver,9,6,15,0,1,1,0,0,0
28/12/2016,Southampton,Tottenham,M Dean,7,16,23,1,4,5,1,0,1
30/12/2016,Hull,Everton,J Moss,10,13,23,2,2,4,0,0,0
31/12/2016,Burnley,Sunderland,G Scott,10,8,18,1,1,2,0,0,0
31/12/2016,Chelsea,Stoke,R Madley,12,10,22,3,2,5,0,0,0
31/12/2016,Leicester,West Ham,A Taylor,11,8,19,5,3,8,0,0,0
31/12/2016,Liverpool,Man City,C Pawson,12,12,24,2,1,3,0,0,0
31/12/2016,Man United,Middlesbrough,L Mason,9,14,23,1,1,2,0,0,0
31/12/2016,Southampton,West Brom,M Jones,13,17,30,1,3,4,1,0,1
31/12/2016,Swansea,Bournemouth,K Friend,14,9,23,2,0,2,0,0,0
01/01/2017,Arsenal,Crystal Palace,A Marriner,9,7,16,1,1,2,0,0,0
01/01/2017,Watford,Tottenham,M Oliver,11,6,17,3,0,3,0,0,0
02/01/2017,Everton,Southampton,K Friend,5,14,19,0,1,1,0,0,0
02/01/2017,Man City,Burnley,L Mason,11,11,22,4,3,7,1,0,1
02/01/2017,Middlesbrough,Leicester,R Madley,10,9,19,3,0,3,0,0,0
02/01/2017,Sunderland,Liverpool,A Taylor,10,10,20,2,3,5,0,0,0
02/01/2017,West Brom,Hull,M Clattenburg,5,4,9,0,0,0,0,0,0
02/01/2017,West Ham,Man United,M Dean,9,13,22,1,2,3,1,0,1
03/01/2017,Bournemouth,Arsenal,M Oliver,10,12,22,3,3,6,1,0,1
03/01/2017,Crystal Palace,Swansea,P Tierney,13,14,27,2,1,3,0,0,0
03/01/2017,Stoke,Watford,N Swarbrick,10,15,25,1,2,3,0,0,0
04/01/2017,Tottenham,Chelsea,M Atkinson,9,8,17,3,2,5,0,0,0
14/01/2017,Burnley,Southampton,P Tierney,14,14,28,1,2,3,0,0,0
14/01/2017,Hull,Bournemouth,M Atkinson,13,11,24,0,1,1,0,0,0
14/01/2017,Leicester,Chelsea,A Marriner,8,9,17,1,0,1,0,0,0
14/01/2017,Sunderland,Stoke,M Dean,16,11,27,3,1,4,0,0,0
14/01/2017,Swansea,Arsenal,M Jones,12,8,20,2,0,2,0,0,0
14/01/2017,Tottenham,West Brom,A Taylor,11,12,23,0,2,2,0,0,0
14/01/2017,Watford,Middlesbrough,J Moss,15,15,30,3,1,4,0,0,0
14/01/2017,West Ham,Crystal Palace,N Swarbrick,10,14,24,4,2,6,0,0,0
15/01/2017,Everton,Man City,M Clattenburg,17,7,24,2,2,4,0,0,0
15/01/2017,Man United,Liverpool,M Oliver,17,13,30,1,3,4,0,0,0
21/01/2017,Bournemouth,Watford,L Mason,6,16,22,1,1,2,0,0,0
21/01/2017,Crystal Palace,Everton,A Taylor,10,15,25,0,1,1,0,0,0
21/01/2017,Liverpool,Swansea,K Friend,7,7,14,1,1,2,0,0,0
21/01/2017,Man City,Tottenham,A Marriner,10,7,17,2,4,6,0,0,0
21/01/2017,Middlesbrough,West Ham,M Atkinson,7,14,21,2,1,3,0,0,0
21/01/2017,Stoke,Man United,M Clattenburg,12,13,25,4,0,4,0,0,0
21/01/2017,West Brom,Sunderland,C Pawson,15,12,27,1,1,2,0,0,0
22/01/2017,Arsenal,Burnley,J Moss,12,11,23,1,3,4,1,0,1
22/01/2017,Chelsea,Hull,N Swarbrick,12,10,22,1,3,4,0,0,0
22/01/2017,Southampton,Leicester,M Oliver,8,10,18,0,1,1,0,0,0
31/01/2017,Arsenal,Watford,A Marriner,12,15,27,3,3,6,0,0,0
31/01/2017,Bournemouth,Crystal Palace,J Moss,14,23,37,0,4,4,0,0,0
31/01/2017,Burnley,Leicester,M Dean,4,8,12,1,0,1,0,0,0
31/01/2017,Liverpool,Chelsea,M Clattenburg,13,8,21,2,1,3,0,0,0
31/01/2017,Middlesbrough,West Brom,S Attwell,12,13,25,2,1,3,0,0,0
31/01/2017,Sunderland,Tottenham,L Mason,9,13,22,2,1,3,0,0,0
31/01/2017,Swansea,Southampton,R East,10,19,29,2,0,2,0,0,0
01/02/2017,Man United,Hull,M Jones,20,16,36,1,4,5,0,0,0
