web_name,team name,first_name,second_name,squad_number,now_cost,selected_by_percent,total_points,points_per_game,minutes,bonus
Bakayoko,Chelsea,Tiemoué,Bakayoko,14,50,2.4,40,2.9,985,3
Martina,Everton,Cuco,Martina,15,43,0.4,19,2.4,660,0
Haidara,Newcastle,Massadio,Haidara,25,39,1.5,0,0,0,0
de Jong,Newcastle,Siem,de Jong,15,49,0,0,0,0,0
Aarons,Newcastle,Rolando,Aarons,16,43,0.2,2,1,50,0
Hegazi,West Brom,Ahmed El-Sayed,Hegazi,26,45,18,49,3.1,1406,6
Pope,Burnley,Nick,Pope,29,47,4.9,65,5,1134,9
Christensen,Chelsea,Andreas,Christensen,27,55,3.4,38,3.2,874,1
Musonda,Chelsea,Charly,Musonda,17,48,0,2,1,26,0
Morata,Chelsea,Álvaro,Morata,9,108,31.9,85,5.7,1166,13
Jakupovic,Leicester,Eldin,Jakupovic,17,43,0.1,0,0,0,0
James,Leicester,Matty,James,22,44,0.2,8,2,338,0
Robertson,Liverpool,Andrew,Robertson,26,46,0.9,15,3.8,360,3
Pereira,Man Utd,Andreas,Pereira,15,49,0,0,0,0,0
Manquillo,Newcastle,Javier,Manquillo,19,44,1.3,31,2.4,1170,1
Murphy,Newcastle,Jacob,Murphy,7,50,0.1,16,1.5,486,0
Hart,West Ham,Joe,Hart,25,44,7,45,3.2,1260,3
Chambers,Arsenal,Calum,Chambers,21,47,0.2,0,0,0,0
Brown,Brighton,Isaiah,Brown,37,52,0,14,1.3,285,0
Riedewald,Crystal Palace,Jairo,Riedewald,44,47,0.1,4,1,124,0
Danilo,Man City,Danilo Luiz,da Silva,3,50,1.8,25,3.6,379,0
Mendy,Man City,Benjamin,Mendy,22,63,0.4,17,4.3,298,1
Bartley,Swansea,Kyle,Bartley,27,43,0.1,3,1.5,75,0
Watson,Watford,Ben,Watson,23,44,0.2,2,1,11,0
Chicharito,West Ham,Javier,Hernández Balcázar,17,67,7.1,41,3.7,900,6
Joselu,Newcastle,Jose Luis,Mato Sanmartín,21,55,0.7,40,2.9,1011,3
Nelson,Arsenal,Reiss,Nelson,61,48,0,0,0,0,0
Pröpper,Brighton,Davy,Pröpper,24,54,0.1,43,2.7,1440,1
Lokilo,Crystal Palace,Jason,Lokilo,28,44,0.1,0,0,0,0
Foden,Man City,Phil,Foden,47,47,0,0,0,0,0
Diaz,Man City,Brahim,Diaz,55,47,0,0,0,0,0
Mbemba,Newcastle,Chancel,Mbemba,18,40,11.1,17,2.4,588,3
Merino,Newcastle,Mikel,Merino,23,50,0.1,34,2.6,883,4
Hayden,Newcastle,Isaac,Hayden,14,45,0.3,27,1.8,1001,0
Choupo-Moting,Stoke,Eric Maxim,Choupo-Moting,10,56,4.5,62,3.9,1330,6
Walker-Peters,Spurs,Kyle,Walker-Peters,37,41,0.9,7,3.5,98,0
Sinclair,Watford,Jerome,Sinclair,17,49,0.2,0,0,0,0
Lemina,Southampton,Mario,Lemina,18,49,0.1,20,2,690,0
Richarlison,Watford,Richarlison,de Andrade,11,66,20.6,77,4.8,1368,4
Mangala,Man City,Eliaquim,Mangala,15,50,0.2,6,1.2,200,0
Tomori,Chelsea,Fikayo,Tomori,31,45,0,0,0,0,0
Scott,Chelsea,Kyle,Scott,36,44,0.1,0,0,0,0
Ladapo,Crystal Palace,Olayinka Fredrick Oladotun,Ladapo,19,45,1.7,1,1,16,0
Taylor,Southampton,Stuart,Taylor,28,40,0.4,0,0,0,0
Harper,West Brom,Rekeem,Harper,34,45,0,1,1,20,0
Wilson,West Brom,Kane,Wilson,49,40,0.2,0,0,0,0
Boga,Chelsea,Jeremie,Boga,38,60,0,1,1,17,0
Rice,West Ham,Declan,Rice,41,44,0,5,0.7,267,0
Carter-Vickers,Spurs,Cameron,Carter-Vickers,38,45,0,0,0,0,0
Jesé,Stoke,Jesé,Rodríguez Ruiz,11,55,2.6,26,2.9,482,2
Martins Indi,Stoke,Bruno,Martins Indi,15,49,0,5,0.6,488,0
Flanagan,Liverpool,Jon,Flanagan,38,44,0,0,0,0,0
Kaikai,Crystal Palace,Sullay,Kaikai,25,44,0.1,1,1,13,0
Saivet,Newcastle,Henri,Saivet,24,44,0,0,0,0,0
Izquierdo,Brighton,José Heriberto,Izquierdo Mena,19,59,0,31,2.6,540,1
Wood,Burnley,Chris,Wood,11,64,1.8,44,3.7,826,8
Clucas,Swansea,Sam,Clucas,17,49,0,23,2.3,654,0
Sánchez,Spurs,Davinson,Sánchez,6,60,0.4,36,3,952,0
Hadergjonaj,Huddersfield,Florent,Hadergjonaj,33,45,0,9,1.8,292,2
Sabiri,Huddersfield,Abdelhamid,Sabiri,11,49,0,9,2.3,187,0
Ibrahimovic,Man Utd,Zlatan,Ibrahimovic,10,98,0.3,4,1,57,0
Burke,West Brom,Oliver,Burke,17,51,0,8,1.6,68,0
Hoedt,Southampton,Wesley,Hoedt,6,50,0,17,2.1,720,1
Haksabanovic,West Ham,Sead,Haksabanovic,23,50,0,0,0,0,0
Carrillo,Watford,André,Carrillo,28,55,0,28,2,731,0
Anderson,Crystal Palace,Keshi,Anderson,31,45,0.4,0,0,0,0
Woodman,Newcastle,Freddie,Woodman,41,40,0.2,0,0,0,0
Ward,Liverpool,Danny,Ward,52,45,0,0,0,0,0
Oakley-Boothe,Spurs,Tashan,Oakley-Boothe,46,45,0,0,0,0,0
Aurier,Spurs,Serge,Aurier,24,59,0.3,10,1.7,456,0
Krychowiak,West Brom,Grzegorz,Krychowiak,20,50,0.2,26,2.6,729,3
Foyth,Spurs,Juan,Foyth,21,45,0,0,0,0,0
Sanches,Swansea,Renato,Sanches,35,46,0.4,15,1.7,507,0
Karnezis,Watford,Orestis,Karnezis,30,45,0,0,0,31,0
Zeegelaar,Watford,Marvin,Zeegelaar,22,45,1.2,21,4.2,398,5
Schelotto,Brighton,Ezequiel,Schelotto,21,44,0,3,0.6,88,0
Vlasic,Everton,Nikola,Vlasic,27,55,0,9,1.5,274,0
Krul,Brighton,Tim,Krul,26,40,0.9,0,0,0,0
Dragovic,Leicester,Aleksandar,Dragovic,16,49,0,0,0,0,0
Bony,Swansea,Wilfried,Bony,2,57,0.4,26,2.9,573,3
Zappacosta,Chelsea,Davide,Zappacosta,21,59,0.4,32,3.6,534,1
Lumeka,Crystal Palace,Levi,Lumeka,32,45,0,1,1,25,0
Legzdins,Burnley,Adam,Legzdins,30,40,0.1,0,0,0,0
Maitland-Niles,Arsenal,Ainsley,Maitland-Niles,30,45,0,1,1,1,0
Green,Huddersfield,Robert,Green,28,40,0.2,0,0,0,0
Niasse,Everton,Oumar,Niasse,19,50,5,40,5,422,8
Ramsdale,Bournemouth,Aaron,Ramsdale,12,40,0.2,0,0,0,0
Souttar,Stoke,Harry,Souttar,36,40,0.1,0,0,0,0
Zinchenko,Man City,Oleksandr,Zinchenko,35,50,0,0,0,0,0
Mutch,Crystal Palace,Jordon,Mutch,22,45,0,0,0,0,0
Molumby,Brighton,Jayson,Molumby,49,45,0,0,0,0,0
Lindegaard,Burnley,Anders,Lindegaard,22,40,0.2,0,0,0,0
Henry,Crystal Palace,Dion,Henry,30,40,0.1,0,0,0,0
Edwards,Stoke,Thomas,Edwards,42,40,0,0,0,121,0
Palmer,West Brom,Alex,Palmer,40,40,0.2,0,0,0,0
Ampadu,Chelsea,Ethan,Ampadu,44,45,0,0,0,0,0
Macey,Arsenal,Matt,Macey,54,50,0,0,0,0,0
Nketiah,Arsenal,Edward,Nketiah,62,50,0,0,0,0,0
Rodon,Swansea,Joe,Rodon,61,40,0,0,0,0,0
Ngoy,Stoke,Julien,Ngoy,28,45,0.4,0,0,0,0
Baningime,Everton,Beni,Baningime,54,45,0,3,1,104,0
Debuchy,Arsenal,Mathieu,Debuchy,2,45,0,0,0,0,0
Gazzaniga,Spurs,Paulo,Gazzaniga,22,43,0.1,9,9,90,2
Whiteman,Spurs,Alfie,Whiteman,41,40,0.1,0,0,0,0
Martínez,West Ham,Antonio,Martinez Lopez,29,50,0,0,0,0,0
Quina,West Ham,Domingos,Quina,36,45,0,0,0,0,0
Haugaard,Stoke,Jakob,Haugaard,29,40,0,0,0,0,0
Simpson,Bournemouth,Jack,Simpson,42,40,0,0,0,0,0
Choudhury,Leicester,Hamza,Choudhury,38,45,0,1,1,7,0
Melbourne,West Brom,Max,Melbourne,53,40,0,0,0,0,0
Johnson,West Ham,Ben,Johnson,53,45,0,0,0,0,0
Trott,West Ham,Nathan,Trott,34,40,0,0,0,0,0
Ulvestad,Burnley,Fredrik,Ulvestad,20,45,0,0,0,0,0
Mulder,Swansea,Erwin,Mulder,25,40,0,0,0,0,0
