Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
17/12/2016,Crystal Palace,Chelsea,0,1,J Moss
17/12/2016,Middlesbrough,Swansea,3,0,N Swarbrick
17/12/2016,Stoke,Leicester,2,2,C Pawson
17/12/2016,Sunderland,Watford,1,0,R Madley
17/12/2016,West Brom,Man United,0,2,A Taylor
17/12/2016,West Ham,Hull,1,0,L Mason
18/12/2016,Bournemouth,Southampton,1,3,M Clattenburg
18/12/2016,Man City,Arsenal,2,1,M Atkinson
18/12/2016,Tottenham,Burnley,2,1,K Friend
19/12/2016,Everton,Liverpool,0,1,M Dean
26/12/2016,Arsenal,West Brom,1,0,N Swarbrick
26/12/2016,Burnley,Middlesbrough,1,0,C Pawson
26/12/2016,Chelsea,Bournemouth,3,0,M Jones
26/12/2016,Hull,Man City,0,3,R Madley
26/12/2016,Leicester,Everton,0,2,S Attwell
26/12/2016,Man United,Sunderland,3,1,M Atkinson
26/12/2016,Swansea,West Ham,1,4,A Marriner
26/12/2016,Watford,Crystal Palace,1,1,M Clattenburg
27/12/2016,Liverpool,Stoke,4,1,M Oliver
28/12/2016,Southampton,Tottenham,1,4,M Dean
30/12/2016,Hull,Everton,2,2,J Moss
31/12/2016,Burnley,Sunderland,4,1,G Scott
31/12/2016,Chelsea,Stoke,4,2,R Madley
31/12/2016,Leicester,West Ham,1,0,A Taylor
31/12/2016,Liverpool,Man City,1,0,C Pawson
31/12/2016,Man United,Middlesbrough,2,1,L Mason
31/12/2016,Southampton,West Brom,1,2,M Jones
31/12/2016,Swansea,Bournemouth,0,3,K Friend
01/01/2017,Arsenal,Crystal Palace,2,0,A Marriner
01/01/2017,Watford,Tottenham,1,4,M Oliver
02/01/2017,Everton,Southampton,3,0,K Friend
02/01/2017,Man City,Burnley,2,1,L Mason
02/01/2017,Middlesbrough,Leicester,0,0,R Madley
02/01/2017,Sunderland,Liverpool,2,2,A Taylor
02/01/2017,West Brom,Hull,3,1,M Clattenburg
02/01/2017,West Ham,Man United,0,2,M Dean
03/01/2017,Bournemouth,Arsenal,3,3,M Oliver
03/01/2017,Crystal Palace,Swansea,1,2,P Tierney
03/01/2017,Stoke,Watford,2,0,N Swarbrick
04/01/2017,Tottenham,Chelsea,2,0,M Atkinson
14/01/2017,Burnley,Southampton,1,0,P Tierney
14/01/2017,Hull,Bournemouth,3,1,M Atkinson
14/01/2017,Leicester,Chelsea,0,3,A Marriner
14/01/2017,Sunderland,Stoke,1,3,M Dean
14/01/2017,Swansea,Arsenal,0,4,M Jones
14/01/2017,Tottenham,West Brom,4,0,A Taylor
14/01/2017,Watford,Middlesbrough,0,0,J Moss
14/01/2017,West Ham,Crystal Palace,3,0,N Swarbrick
15/01/2017,Everton,Man City,4,0,M Clattenburg
15/01/2017,Man United,Liverpool,1,1,M Oliver
21/01/2017,Bournemouth,Watford,2,2,L Mason
21/01/2017,Crystal Palace,Everton,0,1,A Taylor
21/01/2017,Liverpool,Swansea,2,3,K Friend
21/01/2017,Man City,Tottenham,2,2,A Marriner
21/01/2017,Middlesbrough,West Ham,1,3,M Atkinson
21/01/2017,Stoke,Man United,1,1,M Clattenburg
21/01/2017,West Brom,Sunderland,2,0,C Pawson
22/01/2017,Arsenal,Burnley,2,1,J Moss
22/01/2017,Chelsea,Hull,2,0,N Swarbrick
22/01/2017,Southampton,Leicester,3,0,M Oliver
31/01/2017,Arsenal,Watford,1,2,A Marriner
31/01/2017,Bournemouth,Crystal Palace,0,2,J Moss
31/01/2017,Burnley,Leicester,1,0,M Dean
31/01/2017,Liverpool,Chelsea,1,1,M Clattenburg
31/01/2017,Middlesbrough,West Brom,1,1,S Attwell
31/01/2017,Sunderland,Tottenham,0,0,L Mason
31/01/2017,Swansea,Southampton,2,1,R East
01/02/2017,Man United,Hull,0,0,M Jones
01/02/2017,Stoke,Everton,1,1,C Pawson
01/02/2017,West Ham,Man City,0,4,K Friend
04/02/2017,Chelsea,Arsenal,3,1,M Atkinson
04/02/2017,Crystal Palace,Sunderland,0,4,A Marriner
04/02/2017,Everton,Bournemouth,6,3,M Jones
04/02/2017,Hull,Liverpool,2,0,L Mason
04/02/2017,Southampton,West Ham,1,3,G Scott
04/02/2017,Tottenham,Middlesbrough,1,0,M Clattenburg
04/02/2017,Watford,Burnley,2,1,M Oliver
04/02/2017,West Brom,Stoke,1,0,K Friend
05/02/2017,Leicester,Man United,0,3,A Taylor
