web_name,team_code,first_name,second_name,squad_number,now_cost,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,element_type,team
McQueen,20,Sam,McQueen,38,43,0,0.1,12,2.4,126,0,0,1,1,0,0,0,0,0,0,2,40,6.6,2,14
Bednarek,20,Jan,Bednarek,35,42,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,14
Davis,20,Steven,Davis,8,48,2,2.3,66,3.5,1373,3,2,4,20,0,0,0,0,0,0,6,315,77.9,3,14
Ward-Prowse,20,James,Ward-Prowse,16,50,1,0.5,47,2.6,937,2,2,2,11,0,0,0,1,0,0,3,191,68.5,3,14
Tadic,20,Dusan,Tadic,11,63,1,1.6,71,3.4,1612,3,3,6,23,0,0,0,3,0,0,5,270,134.2,3,14
Clasie,20,Jordy,Clasie,4,44,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,14
Oriol Romeu,20,Oriol,Romeu Vidal,14,43,0,2.2,45,2.1,1799,1,0,5,31,0,0,0,6,0,0,0,312,74.4,3,14
Højbjerg,20,Pierre-Emile,Højbjerg,23,43,0,0.3,16,1.6,682,0,0,1,12,0,0,0,3,0,0,0,119,25.2,3,14
Boufal,20,Sofiane,Boufal,19,57,0,0.2,44,2.3,967,2,1,1,22,0,0,0,1,0,0,2,184,84.8,3,14
Sims,20,Joshua,Sims,39,43,0,0.1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3,14
Redmond,20,Nathan,Redmond,22,59,0,1.7,47,2.2,1369,0,3,4,22,0,0,0,3,0,0,2,200,95.6,3,14
Long,20,Shane,Long,7,56,0,0.5,34,2.0,1019,1,2,3,19,0,0,0,4,0,0,0,110,63.8,4,14
Austin,20,Charlie,Austin,10,60,1,1.0,53,3.3,596,6,0,1,10,0,0,0,1,0,0,9,163,69.5,4,14
Gabbiadini,20,Manolo,Gabbiadini,20,63,1,1.4,44,2.2,848,3,0,4,13,0,0,0,1,0,0,4,129,36.5,4,14
Butland,110,Jack,Butland,1,50,1,2.1,55,2.8,1800,0,0,2,43,0,0,0,0,0,73,3,356,52.0,1,15
Grant,110,Lee,Grant,33,42,0,0.3,5,1.7,270,0,0,0,7,0,0,0,0,0,8,0,44,6.3,1,15
Shawcross,110,Ryan,Shawcross,17,48,0,0.7,35,2.3,1291,1,1,2,25,1,0,0,1,0,0,0,198,61.4,2,15
Cameron,110,Geoff,Cameron,20,43,0,0.3,22,1.6,1118,0,0,1,24,0,0,0,1,0,0,0,160,29.1,2,15
Pieters,110,Erik,Pieters,3,47,0,0.3,35,1.8,1660,0,0,3,37,0,0,0,1,0,0,0,251,45.8,2,15
Muniesa,110,Marc,Muniesa,5,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,15
Bardsley,90,Phil,Bardsley,26,43,0,0.9,29,2.9,900,0,0,4,10,0,0,0,4,0,0,0,167,32.3,2,4
Johnson,110,Glen,Johnson,8,41,0,0.2,1,0.3,149,0,0,0,6,0,0,0,0,0,0,0,23,4.4,2,15
Tymon,110,Josh,Tymon,12,44,0,0.0,0,0.0,162,0,0,0,9,0,0,0,0,0,0,0,18,2.5,2,15
Allen,110,Joe,Allen,4,51,1,1.5,63,3.0,1872,1,4,2,38,0,0,0,5,0,0,7,330,98.2,3,15
Adam,110,Charlie,Adam,16,47,0,0.1,8,1.3,219,0,0,0,7,0,0,0,0,0,0,0,52,16.2,3,15
Whelan,110,Glenn,Whelan,6,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,15
Arnautovic,21,Marko,Arnautovic,7,70,2,10.5,75,4.2,1177,6,3,3,27,0,0,0,2,1,0,7,234,115.3,3,20
Afellay,110,Ibrahim,Afellay,14,48,0,0.0,6,1.0,162,0,0,0,9,0,0,0,1,0,0,0,29,1.8,3,15
Shaqiri,110,Xherdan,Shaqiri,22,60,1,5.4,83,4.0,1704,4,5,2,41,0,0,0,3,0,0,9,333,157.5,3,15
Imbula,110,Giannelli,Imbula,21,45,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,15
Bojan,110,Bojan,Krkic Perez,27,55,0,0.0,2,2.0,71,0,0,0,1,0,0,0,0,0,0,0,5,1.9,3,15
Sobhi,110,Ramadan,Sobhi,32,45,0,0.6,38,2.4,884,2,1,1,24,0,0,0,2,0,0,2,180,50.4,3,15
Fletcher,110,Darren,Fletcher,24,49,1,0.5,57,2.6,1885,1,1,2,47,0,0,0,0,0,0,3,295,70.8,3,15
Crouch,110,Peter,Crouch,25,49,0,3.3,47,2.6,912,3,2,0,18,0,0,0,1,0,0,4,159,66.1,4,15
Diouf,110,Mame Biram,Diouf,18,54,0,3.1,64,2.9,1670,4,2,2,42,0,0,0,3,0,0,5,243,104.5,4,15
Berahino,110,Saido,Berahino,9,56,0,0.2,15,1.5,383,0,1,2,9,0,0,1,0,0,0,0,30,19.2,4,15
Fabianski,80,Lukasz,Fabianski,1,46,2,7.6,92,4.0,2070,0,0,6,35,0,1,0,0,0,89,7,469,65.7,1,16
Nordfeldt,80,Kristoffer,Nordfeldt,13,40,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,16
Naughton,80,Kyle,Naughton,26,45,2,2.9,64,3.0,1876,0,1,6,32,0,0,0,1,0,0,8,381,70.6,2,16
Rangel,80,Angel,Rangel,22,39,0,9.2,3,1.0,64,0,0,0,1,0,0,0,0,0,0,0,12,1.5,2,16
Fernández,80,Federico,Fernández,33,45,0,1.5,40,2.4,1530,0,0,4,27,1,0,0,4,0,0,6,277,47.0,2,16
Kingsley,80,Stephen,Kingsley,35,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,16
van der Hoorn,80,Mike,van der Hoorn,5,44,0,0.1,36,3.3,883,0,0,5,12,0,0,0,2,0,0,2,182,29.0,2,16
Mawson,80,Alfie,Mawson,6,50,0,1.0,65,2.8,2070,1,0,6,35,0,0,0,1,0,0,3,406,64.2,2,16
Olsson,80,Martin,Olsson,16,50,0,0.3,58,2.8,1886,0,1,7,31,0,0,0,3,0,0,0,296,48.1,2,16
Sigurdsson,11,Gylfi,Sigurdsson,18,80,1,2.0,70,3.3,1743,3,2,5,34,0,0,0,2,0,0,6,295,114.5,3,7
Routledge,80,Wayne,Routledge,15,51,0,0.1,12,1.2,319,0,0,1,9,0,0,0,1,0,0,0,40,13.8,3,16
Britton,80,Leon,Britton,7,44,0,0.1,9,2.3,269,0,0,3,1,0,0,0,1,0,0,0,25,1.6,3,16
Fulton,80,Jay,Fulton,56,44,0,0.1,1,0.5,17,0,0,0,0,0,0,0,1,0,0,0,1,0.0,3,16
Ki Sung-yueng,80,Sung-yueng,Ki,4,49,0,0.0,20,1.8,802,0,0,2,12,0,0,0,1,0,0,0,116,29.4,3,16
Montero,80,Jefferson,Montero,20,49,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,16
Fer,80,Leroy,Fer,8,52,0,0.2,35,2.1,1179,1,1,3,24,0,0,0,5,0,0,0,165,47.3,3,16
Dyer,80,Nathan,Dyer,12,44,0,0.1,22,1.8,689,0,1,1,12,0,0,0,2,0,0,0,87,24.5,3,16
Carroll,80,Tom,Carroll,14,43,0,5.1,56,2.5,1780,0,3,6,28,0,0,0,3,0,0,3,278,88.6,3,16
Barrow,80,Modou,Barrow,17,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,16
Narsingh,80,Luciano,Narsingh,11,47,1,0.0,26,1.9,497,1,0,1,11,0,0,0,0,0,0,3,75,33.4,3,16
Mesa,80,Roque,Mesa,51,42,0,0.5,18,1.6,753,0,0,2,16,0,0,0,3,0,0,0,125,20.9,3,16
Llorente,6,Fernando,Llorente,18,74,0,0.2,19,1.5,213,1,0,1,1,0,0,0,1,0,0,2,59,19.6,4,17
McBurnie,80,Oliver,McBurnie,62,45,0,3.5,16,1.5,267,0,1,0,5,0,0,0,0,0,0,0,45,17.4,4,16
Ayew,80,Jordan,Ayew,18,51,0,6.9,70,3.0,1775,4,2,5,31,0,0,0,1,0,0,7,235,104.0,4,16
Abraham,80,Tammy,Abraham,10,55,1,4.9,64,3.2,1390,4,2,4,25,0,0,0,0,0,0,8,184,83.4,4,16
Lloris,6,Hugo,Lloris,1,55,0,8.9,83,3.8,1980,0,0,9,21,0,0,0,0,0,46,2,405,39.0,1,17
Vorm,6,Michel,Vorm,13,48,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,17
Alderweireld,6,Toby,Alderweireld,4,58,0,4.8,38,3.8,900,0,0,5,7,0,0,0,3,0,0,3,200,27.7,2,17
Rose,6,Danny,Rose,3,64,0,0.3,14,2.8,448,0,0,2,7,0,0,0,1,0,0,0,91,24.6,2,17
